78,18,304,29,303,57,77,46,1
92,37,102,37,102,45,92,45,1
120,40,129,40,129,46,120,46,1
138,41,156,41,156,48,138,48,1
156,41,168,41,168,49,156,49,1
186,41,204,41,204,50,186,50,1
21,46,136,46,136,68,21,68,1
215,52,335,49,336,71,216,74,1
206,54,218,54,218,73,206,73,1
19,75,273,71,273,94,20,99,1
54,101,246,101,246,120,54,120,1
21,106,33,106,33,118,21,118,1
24,118,54,118,54,126,24,126,1
19,131,191,124,192,142,20,149,1
286,128,329,128,329,145,286,145,1
244,137,254,137,254,154,244,154,1
253,137,285,137,285,156,253,156,1
109,163,221,147,224,168,112,185,1
25,161,104,161,104,176,25,176,1
109,186,304,166,306,191,112,211,1
25,178,105,178,105,196,25,196,1
26,198,104,198,104,214,26,214,1
260,210,347,201,349,219,262,228,1
143,212,234,206,235,224,144,230,1
244,217,253,217,253,228,244,228,1
250,216,265,216,265,228,250,228,1
39,219,88,216,89,230,40,233,1
112,218,146,218,146,230,112,230,1
261,226,270,226,270,232,261,232,1
113,229,125,229,125,237,113,237,1
130,229,161,229,161,236,130,236,1
